model,engine cc,no of cylinders,power,fuel tank capacity,price,description,image
Power Harrow 615 PH,-,-,55,-,125000,"Primary tillage equipment. Can be used directly on barren land, making it feasible for cultivation, prior and after rains. ",https://5.imimg.com/data5/SP/JG/MY-24177202/power-harrow-615-ph-implements-500x500.png
Plough 2 Furrow,-,-,50,-,14500,"Fostered with a team of highly experienced professionals, we have been able to provide Mini Reversible ",http://5.imimg.com/data5/HN/JK/MY-13879100/2-furrow-plough-500x500.png
Potato Planter,-,-,60,-,18000,We offer various types of agricultural machinery like potato planter these implements are perfect for both big or small farm. The sow depth of seeding element is controled by the wheel which is of adjustable type.,https://2.imimg.com/data2/CC/TW/MY-704816/potato-planter-250x250.jpg
Disc plough 3 furrow,-,-,50,-,34000,"Heavy-duty primary tillage equipment. Suitable for use under adverse conditions like hard, trashy, stony or stumpy soil.",https://5.imimg.com/data5/FF/AC/GLADMIN-25392076/disc-plough-3-furrow-500x500.png
AgriStar Powervator 5 Feet-36 Blades-615VX ,-,-,45,-,50000,Multipurpose secondary tillage implement for seedbed preparation.  Rapid seedbed preparation and reduced draft compared to conventional tillage.,http://agroman.in/wp-content/uploads/2015/11/Agroman-AgriStar-Rotavator-410V-3-Feet-24-Blades.jpg
Moulboard Plough 3 farrow,-,-,55,-,38000,Adding an extra furrow or repositioning units to allow for extra clearance is quick and easy. The under-frame and unit-to-unit clearance are adequate to cope with trashy conditions.,https://sc01.alicdn.com/kf/UTB8ldn9F0oSdeJk43Owq6ya4XXaF/930686131/UTB8ldn9F0oSdeJk43Owq6ya4XXaF.jpg
